articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
16-9-2014_PS,31656,31572,n,0.265352539802881,MINOR_ERROR,NA
16-9-2014_PS,1469,1463,n,0.4084411164057182,MINOR_ERROR,NA
16-9-2014_PS,3676,3661,n,0.40805223068552776,MINOR_ERROR,NA
16-9-2014_PS,4411,4402,n,0.20403536613012924,MINOR_ERROR,NA
16-9-2014_PS,3307,3198,n,3.296038705775627,MINOR_ERROR,NA
16-9-2014_PS,0.15,0.15,mean,0,MATCH,NA
16-9-2014_PS,0.06,0.06,mean,0,MATCH,NA
16-9-2014_PS,-0.03,-0.03,mean,0,MATCH,NA
16-9-2014_PS,0.04,0.04,mean,0,MATCH,NA
16-9-2014_PS,0.08,0.08,mean,0,MATCH,NA
16-9-2014_PS,0.36,0.36,sd,0,MATCH,NA
16-9-2014_PS,0.34,0.34,sd,0,MATCH,NA
16-9-2014_PS,0.34,0.34,sd,0,MATCH,NA
16-9-2014_PS,0.34,0.34,sd,0,MATCH,NA
16-9-2014_PS,0.35,0.35,sd,0,MATCH,NA
16-9-2014_PS,31684,31600,n,0.2651180406514329,MINOR_ERROR,NA
16-9-2014_PS,1474,1468,n,0.40705563093622793,MINOR_ERROR,NA
16-9-2014_PS,3680,3665,n,0.4076086956521739,MINOR_ERROR,NA
16-9-2014_PS,4414,4405,n,0.20389669234254643,MINOR_ERROR,NA
16-9-2014_PS,3311,3200,n,3.352461491996376,MINOR_ERROR,NA
16-9-2014_PS,-0.01,-0.01,mean,0,MATCH,NA
16-9-2014_PS,0.26,0.26,mean,0,MATCH,NA
16-9-2014_PS,-0.08,-0.08,mean,0,MATCH,NA
16-9-2014_PS,-0.04,-0.04,mean,0,MATCH,NA
16-9-2014_PS,0.04,0.04,mean,0,MATCH,NA
16-9-2014_PS,0.3,0.3,sd,0,MATCH,NA
16-9-2014_PS,0.32,0.32,sd,0,MATCH,NA
16-9-2014_PS,0.31,0.31,sd,0,MATCH,NA
16-9-2014_PS,0.31,0.31,sd,0,MATCH,NA
16-9-2014_PS,0.32,0.32,sd,0,MATCH,NA
16-9-2014_PS,31674,31590,n,0.2652017427543095,MINOR_ERROR,NA
16-9-2014_PS,1472,1466,n,0.4076086956521739,MINOR_ERROR,NA
16-9-2014_PS,3677,3662,n,0.4079412564590699,MINOR_ERROR,NA
16-9-2014_PS,4413,4404,n,0.20394289598912305,MINOR_ERROR,NA
16-9-2014_PS,3317,3206,n,3.346397347000302,MINOR_ERROR,NA
16-9-2014_PS,-0.05,-0.05,mean,0,MATCH,NA
16-9-2014_PS,-0.15,-0.15,mean,0,MATCH,NA
16-9-2014_PS,0.22,0.22,mean,0,MATCH,NA
16-9-2014_PS,-0.1,-0.1,mean,0,MATCH,NA
16-9-2014_PS,-0.03,-0.03,mean,0,MATCH,NA
16-9-2014_PS,0.33,0.33,sd,0,MATCH,NA
16-9-2014_PS,0.32,0.33,sd,3.1250000000000027,MINOR_ERROR,NA
16-9-2014_PS,0.34,0.34,sd,0,MATCH,NA
16-9-2014_PS,0.34,0.34,sd,0,MATCH,NA
16-9-2014_PS,0.35,0.35,sd,0,MATCH,NA
16-9-2014_PS,31664,31580,n,0.2652854977261243,MINOR_ERROR,NA
16-9-2014_PS,1472,1466,n,0.4076086956521739,MINOR_ERROR,NA
16-9-2014_PS,3676,3661,n,0.40805223068552776,MINOR_ERROR,NA
16-9-2014_PS,4411,4412,n,0.022670596236681023,MINOR_ERROR,NA
16-9-2014_PS,3307,3198,n,3.296038705775627,MINOR_ERROR,NA
16-9-2014_PS,-0.09,-0.09,mean,0,MATCH,NA
16-9-2014_PS,-0.16,-0.16,mean,0,MATCH,NA
16-9-2014_PS,-0.11,-0.11,mean,0,MATCH,NA
16-9-2014_PS,0.1,0.1,mean,0,MATCH,NA
16-9-2014_PS,-0.08,-0.08,mean,0,MATCH,NA
16-9-2014_PS,0.29,0.29,sd,0,MATCH,NA
16-9-2014_PS,0.29,0.29,sd,0,MATCH,NA
16-9-2014_PS,0.3,0.3,sd,0,MATCH,NA
16-9-2014_PS,0.32,0.32,sd,0,MATCH,NA
16-9-2014_PS,0.3,0.3,sd,0,MATCH,NA
16-9-2014_PS,55.84,55.84,t,0,MATCH,NA
16-9-2014_PS,11.02,11.02,t,0,MATCH,NA
16-9-2014_PS,16.21,16.21,t,0,MATCH,NA
